wall_time,step,value
1768569187.833464,1,0.005999667104333639
1768569187.9365187,2,0.005998667795211077
1768569188.037111,3,0.005997002590447664
1768569188.1370547,4,0.005994671955704689
1768569188.2368548,5,0.005991676822304726
1768569188.3364673,6,0.005988017190247774
1768569188.4366107,7,0.005983694456517696
1768569188.5357432,8,0.005978709552437067
1768569188.6363397,9,0.005973063874989748
1768569188.7355454,10,0.005966758355498314
1768569190.3997097,11,0.005959795322269201
1768569190.503578,12,0.005952175706624985
1768569190.6022022,13,0.0059439013712108135
1768569190.7027752,14,0.0059349751099944115
1768569190.8021479,15,0.005925398785620928
1768569190.9021182,16,0.005915174726396799
1768569191.0022392,17,0.005904305260628462
1768569191.101599,18,0.00589279318228364
1768569191.201315,19,0.005880641285330057
1768569191.3012795,20,0.005867852363735437
1768569192.9561918,21,0.005854430608451366
1768569193.0554008,22,0.0058403778821229935
1768569193.1543405,23,0.005825698841363192
1768569193.2537405,24,0.005810396280139685
1768569193.352261,25,0.005794474855065346
1768569193.4509342,26,0.005777937360107899
1768569193.5498405,27,0.005760788917541504
1768569193.6492324,28,0.00574303325265646
1768569193.7484336,29,0.005724674556404352
1768569193.8471684,30,0.005705717485398054
1768569195.4959831,31,0.005686167161911726
1768569195.595557,32,0.005666028242558241
1768569195.6944013,33,0.005645304918289185
1768569195.7942054,34,0.005624003242701292
1768569195.8938646,35,0.005602128338068724
1768569195.9930902,36,0.00557968532666564
1768569196.092198,37,0.005556679796427488
1768569196.1914032,38,0.005533117335289717
1768569196.2901375,39,0.005509004462510347
1768569196.3910217,40,0.005484345834702253
1768569198.0321114,41,0.005459148436784744
1768569198.131244,42,0.005433418322354555
1768569198.22963,43,0.005407162010669708
1768569198.3295174,44,0.005380385555326939
1768569198.4292502,45,0.005353095941245556
1768569198.5280666,46,0.005325299687683582
1768569198.627011,47,0.0052970037795603275
1768569198.7281194,48,0.005268215201795101
1768569198.8281085,49,0.005238940939307213
1768569198.9327855,50,0.0052091884426772594
1768569200.598949,51,0.005178964696824551
1768569200.6972258,52,0.005148277152329683
1768569200.7980678,53,0.005117133725434542
1768569200.8982809,54,0.005085541866719723
1768569200.9972043,55,0.005053509958088398
1768569201.0966861,56,0.005021044984459877
1768569201.2000084,57,0.004988155327737331
1768569201.2996335,58,0.004954848904162645
1768569201.3988373,59,0.004921134561300278
1768569201.4992952,60,0.004887020215392113
1768569203.1497142,61,0.004852514248341322
1768569203.2489188,62,0.004817625042051077
1768569203.348363,63,0.004782361444085836
1768569203.449193,64,0.004746732302010059
1768569203.5476034,65,0.004710745997726917
1768569203.6513944,66,0.004674411844462156
1768569203.7495365,67,0.004637738224118948
