wall_time,step,value
1768567145.7821426,1,10.845149993896484
1768567145.8536553,2,10.055656433105469
1768567145.9269724,3,8.800651550292969
1768567145.997468,4,8.705862045288086
1768567146.0680077,5,10.198484420776367
1768567146.1380563,6,9.76372241973877
1768567146.2083642,7,9.92936897277832
1768567146.2785218,8,9.490388870239258
1768567146.3523066,9,9.130096435546875
1768567146.4265585,10,8.3404541015625
1768567147.4802184,11,8.367916107177734
1768567147.5502226,12,8.502291679382324
1768567147.6202545,13,8.318676948547363
1768567147.6903288,14,8.059782028198242
1768567147.7605648,15,8.701702117919922
1768567147.8299983,16,8.219435691833496
1768567147.9002724,17,8.971780776977539
1768567147.9701202,18,8.465018272399902
1768567148.0404193,19,8.256814956665039
1768567148.1097414,20,8.37804126739502
1768567149.1550062,21,8.156522750854492
1768567149.2244635,22,8.415528297424316
1768567149.2942948,23,7.945631980895996
1768567149.363849,24,8.457572937011719
1768567149.4334044,25,8.13524055480957
1768567149.5024097,26,8.326866149902344
1768567149.572276,27,8.126276016235352
1768567149.6424842,28,8.259475708007812
1768567149.7121983,29,8.099678993225098
1768567149.7815475,30,8.264909744262695
1768567150.823334,31,8.180381774902344
1768567150.8928823,32,8.29482650756836
1768567150.963143,33,8.13062858581543
1768567151.0325959,34,7.991926670074463
1768567151.1024392,35,8.03109359741211
1768567151.1716177,36,8.483216285705566
1768567151.2414935,37,8.127193450927734
1768567151.3117876,38,8.373706817626953
1768567151.3819797,39,8.191778182983398
1768567151.4513144,40,8.084806442260742
1768567152.5077424,41,8.103286743164062
1768567152.5773714,42,8.163579940795898
1768567152.6469693,43,8.03827953338623
1768567152.7165399,44,8.082010269165039
1768567152.7865365,45,8.04367733001709
1768567152.8558626,46,7.920607566833496
1768567152.9258497,47,7.9647064208984375
1768567152.9955728,48,7.9944610595703125
1768567153.0660536,49,8.026644706726074
1768567153.1351526,50,7.992826461791992
1768567154.1801524,51,7.971447944641113
1768567154.2503226,52,8.046479225158691
1768567154.320876,53,8.086223602294922
1768567154.390539,54,8.12185001373291
1768567154.4604504,55,8.106821060180664
1768567154.5301108,56,7.935512065887451
1768567154.5999863,57,8.108007431030273
1768567154.6693294,58,8.06112289428711
1768567154.7392743,59,8.041964530944824
1768567154.8085942,60,7.844470500946045
1768567155.8554015,61,8.005291938781738
1768567155.9257655,62,7.985296726226807
1768567155.9953163,63,8.062332153320312
1768567156.065212,64,7.9835357666015625
1768567156.1349318,65,7.736744403839111
1768567156.2053246,66,7.768048286437988
1768567156.2746425,67,7.829472541809082
1768567156.3455136,68,7.964189529418945
1768567156.4154336,69,7.767731666564941
1768567156.4854338,70,8.000368118286133
1768567157.5441327,71,7.829457759857178
1768567157.6135786,72,7.827960968017578
1768567157.6831253,73,8.122762680053711
1768567157.7522507,74,7.909342288970947
1768567157.8222451,75,7.71931266784668
1768567157.891313,76,7.807889938354492
1768567157.9612257,77,7.775145053863525
1768567158.0312428,78,7.726500988006592
1768567158.1007733,79,8.21337890625
1768567158.1698956,80,7.773198127746582
1768567159.2108822,81,7.736839771270752
1768567159.2807462,82,7.7717790603637695
1768567159.3510032,83,7.699347496032715
1768567159.4222088,84,7.685965538024902
1768567159.4925284,85,7.632208824157715
1768567159.562464,86,7.68691349029541
1768567159.633693,87,7.612882137298584
1768567159.7031682,88,7.816098213195801
1768567159.773964,89,7.958868026733398
1768567159.84502,90,7.489538192749023
1768567160.8854377,91,7.7755126953125
1768567160.9555519,92,8.075777053833008
1768567161.0257344,93,7.548426628112793
1768567161.0955665,94,7.832744121551514
1768567161.1657279,95,7.80434513092041
1768567161.2356098,96,7.696256637573242
1768567161.3092122,97,7.81440544128418
1768567161.37977,98,7.528046131134033
1768567161.4502587,99,7.691639423370361
1768567161.5197709,100,7.442748069763184
1768567162.9083169,101,7.830779552459717
1768567162.9777937,102,7.6982035636901855
1768567163.047893,103,7.639455318450928
1768567163.1172376,104,7.774023532867432
1768567163.1876292,105,7.685384750366211
1768567163.2570171,106,7.354369640350342
1768567163.3275502,107,7.856847763061523
1768567163.3970118,108,7.672853469848633
1768567163.467948,109,7.400747776031494
1768567163.5378532,110,7.522322177886963
1768567164.5693362,111,7.829900741577148
1768567164.638637,112,7.574672698974609
1768567164.7087045,113,7.37840461730957
1768567164.7795691,114,7.683457374572754
1768567164.8494077,115,7.7403106689453125
1768567164.920437,116,7.376687049865723
1768567164.9906917,117,7.530671119689941
1768567165.0602117,118,7.597228050231934
1768567165.1305711,119,7.590590000152588
1768567165.2000797,120,7.484262943267822
1768567166.2412605,121,7.425836563110352
1768567166.3116493,122,7.491913795471191
1768567166.381388,123,7.666207313537598
1768567166.4515905,124,7.42522668838501
