wall_time,step,value
1768567623.6802356,1,10.833501815795898
1768567623.7648215,2,10.19247055053711
1768567623.8475513,3,8.800314903259277
1768567623.9303534,4,8.659093856811523
1768567624.0128045,5,9.281063079833984
1768567624.0949259,6,9.360200881958008
1768567624.1770964,7,9.621204376220703
1768567624.2589266,8,9.004814147949219
1768567624.3416972,9,9.856459617614746
1768567624.4238846,10,8.543195724487305
1768567625.6291726,11,8.375285148620605
1768567625.7120821,12,8.471295356750488
1768567625.794512,13,8.263166427612305
1768567625.8764026,14,8.069074630737305
1768567625.958609,15,8.886674880981445
1768567626.0407374,16,8.30801773071289
1768567626.1229203,17,9.184435844421387
1768567626.20483,18,8.656501770019531
1768567626.2869384,19,8.460212707519531
1768567626.3688405,20,8.571535110473633
1768567627.5682874,21,8.332826614379883
1768567627.650449,22,8.616097450256348
1768567627.7327306,23,8.051294326782227
1768567627.814602,24,8.558793067932129
1768567627.898159,25,8.224699974060059
1768567627.9822404,26,8.367559432983398
1768567628.0643823,27,8.146096229553223
1768567628.1462586,28,8.233121871948242
1768567628.2283032,29,8.079434394836426
1768567628.3102465,30,8.219139099121094
1768567629.5170326,31,8.144800186157227
1768567629.5993536,32,8.259449005126953
1768567629.681495,33,8.091638565063477
1768567629.7633154,34,7.967022895812988
1768567629.845367,35,8.013519287109375
1768567629.9273543,36,8.39790153503418
1768567630.0094137,37,8.094161987304688
1768567630.0912056,38,8.298545837402344
1768567630.1735241,39,8.121517181396484
1768567630.2553647,40,8.007925033569336
1768567631.4581683,41,8.008304595947266
1768567631.5400262,42,8.081634521484375
1768567631.6221223,43,7.957668304443359
1768567631.7038293,44,8.007499694824219
1768567631.7859888,45,7.967594146728516
1768567631.8677816,46,7.842437744140625
1768567631.9497776,47,7.8753662109375
1768567632.0315206,48,7.918205261230469
1768567632.1136234,49,7.937337398529053
1768567632.195519,50,7.901791572570801
1768567633.4098976,51,7.876039505004883
1768567633.4919794,52,7.9438066482543945
1768567633.574461,53,7.9931793212890625
1768567633.6572888,54,8.037353515625
1768567633.739427,55,8.004796981811523
1768567633.821994,56,7.868697166442871
1768567633.9039106,57,8.023883819580078
1768567633.9874644,58,7.9743428230285645
1768567634.0694005,59,7.970541000366211
1768567634.151131,60,7.7559967041015625
1768567635.3537912,61,7.941256046295166
1768567635.4356534,62,7.91989803314209
1768567635.5177357,63,8.005282402038574
1768567635.5999506,64,7.90852165222168
1768567635.6824508,65,7.707070827484131
1768567635.7642975,66,7.731602191925049
1768567635.8462524,67,7.790925025939941
1768567635.928069,68,7.937473773956299
1768567636.0108356,69,7.763557434082031
1768567636.0925581,70,7.977734088897705
1768567637.2964242,71,7.820435523986816
1768567637.3782134,72,7.819093704223633
1768567637.460088,73,8.124116897583008
1768567637.5419455,74,7.904469013214111
1768567637.6238036,75,7.702136993408203
1768567637.7055418,76,7.782650947570801
1768567637.787365,77,7.757735729217529
1768567637.869035,78,7.705998420715332
1768567637.9507663,79,8.179308891296387
1768567638.0338523,80,7.750086307525635
1768567639.2529838,81,7.722299098968506
1768567639.3353734,82,7.758177757263184
1768567639.4181087,83,7.678008556365967
1768567639.4998338,84,7.676294326782227
1768567639.5823386,85,7.623481750488281
1768567639.6640418,86,7.67179012298584
1768567639.7460353,87,7.597159385681152
1768567639.8277864,88,7.7921271324157715
1768567639.909835,89,7.938094139099121
1768567639.991548,90,7.489357948303223
1768567641.2135441,91,7.75937032699585
1768567641.2954154,92,8.051283836364746
1768567641.3773718,93,7.536187648773193
1768567641.4591088,94,7.8192458152771
1768567641.5414689,95,7.784299850463867
1768567641.623189,96,7.688488960266113
1768567641.7050722,97,7.80031681060791
1768567641.786746,98,7.5342817306518555
1768567641.8693178,99,7.688485622406006
1768567641.9510782,100,7.434803009033203
1768567643.7501867,101,7.821905136108398
1768567643.8319888,102,7.6971588134765625
1768567643.9141493,103,7.638683319091797
1768567643.99593,104,7.760134220123291
1768567644.0782044,105,7.685688018798828
1768567644.1608045,106,7.357547760009766
1768567644.246564,107,7.855835914611816
1768567644.3294914,108,7.679331302642822
1768567644.4118547,109,7.409698486328125
1768567644.4936473,110,7.531676292419434
1768567645.7028174,111,7.832759857177734
1768567645.7847455,112,7.576104640960693
1768567645.8668206,113,7.394166946411133
1768567645.9484634,114,7.686712265014648
1768567646.0306404,115,7.726997375488281
1768567646.11241,116,7.384769916534424
1768567646.1957953,117,7.52866268157959
1768567646.277981,118,7.597352027893066
1768567646.3599348,119,7.582081317901611
1768567646.4419997,120,7.48210334777832
1768567647.6524599,121,7.429895401000977
1768567647.7347279,122,7.473963737487793
1768567647.8168478,123,7.647011756896973
1768567647.8988078,124,7.418671131134033
1768567647.9814262,125,7.702868461608887
1768567648.0633914,126,7.322528839111328
1768567648.1458066,127,7.56087064743042
1768567648.2277117,128,7.410450458526611
1768567648.3100476,129,7.614414215087891
1768567648.3920803,130,7.309667587280273
1768567649.595537,131,7.6720733642578125
1768567649.678636,132,7.478436470031738
1768567649.7605627,133,7.532506942749023
1768567649.8422687,134,7.762479782104492
1768567649.9243853,135,7.527772426605225
1768567650.0060844,136,7.649905681610107
1768567650.0880022,137,7.333708763122559
1768567650.1696694,138,7.215105056762695
1768567650.2517269,139,7.587790489196777
1768567650.3335314,140,7.519652366638184
1768567651.5432847,141,7.4200334548950195
1768567651.6252098,142,7.310694217681885
1768567651.707295,143,7.334427356719971
1768567651.7897427,144,7.1860504150390625
1768567651.871659,145,7.614295959472656
1768567651.9534223,146,7.250238418579102
1768567652.0353148,147,7.328756809234619
1768567652.1170626,148,7.549062252044678
1768567652.1987946,149,7.258624076843262
1768567652.2805438,150,7.329197883605957
1768567653.485421,151,7.242546558380127
1768567653.5673506,152,7.4210710525512695
1768567653.6493454,153,7.585976600646973
1768567653.7311888,154,7.267858982086182
1768567653.8130906,155,7.605792999267578
1768567653.894864,156,7.419875621795654
1768567653.976835,157,7.186668872833252
1768567654.0586128,158,7.378212928771973
1768567654.1405022,159,7.406064987182617
1768567654.222259,160,7.392364501953125
1768567655.4262443,161,7.338432788848877
1768567655.5083373,162,7.516580581665039
1768567655.5901928,163,7.2270097732543945
1768567655.6719499,164,7.264275550842285
1768567655.7540615,165,7.244068145751953
1768567655.835836,166,7.338414669036865
1768567655.9176986,167,7.5220746994018555
1768567655.999326,168,7.417322635650635
1768567656.0812962,169,7.247564315795898
1768567656.1640515,170,7.272782325744629
1768567657.3689694,171,7.350040912628174
1768567657.4506626,172,7.502165794372559
1768567657.5325787,173,7.222717761993408
1768567657.6144414,174,7.211781024932861
1768567657.6962729,175,7.245366096496582
1768567657.7780523,176,7.384558200836182
1768567657.8598993,177,7.190793991088867
1768567657.9416912,178,7.603282928466797
1768567658.023627,179,7.55570650100708
1768567658.1052074,180,7.417068004608154
1768567659.3078122,181,7.240229606628418
1768567659.389544,182,7.165465831756592
1768567659.4714658,183,7.483114719390869
1768567659.5532594,184,7.478544235229492
1768567659.6350129,185,7.405412673950195
1768567659.7166948,186,7.418313980102539
1768567659.7986386,187,7.363137245178223
1768567659.8803751,188,7.459471702575684
1768567659.962345,189,7.0718488693237305
1768567660.0440588,190,7.257505416870117
1768567661.2464483,191,7.34824275970459
1768567661.3281233,192,7.32309627532959
1768567661.4100227,193,7.3981170654296875
1768567661.4918072,194,7.179633617401123
1768567661.5736716,195,7.318696975708008
1768567661.6553717,196,7.2319817543029785
1768567661.738802,197,7.394552230834961
1768567661.8206031,198,7.260382652282715
1768567661.902542,199,7.402254104614258
1768567661.9842765,200,7.217599868774414
