,step,value
0,1,10.838494300842285
1,2,10.27734375
2,3,8.778363227844238
3,4,8.637914657592773
4,5,10.24744701385498
5,6,10.106252670288086
6,7,10.312583923339844
7,8,9.62980842590332
8,9,9.317855834960938
9,10,8.821431159973145
10,11,8.66097640991211
11,12,8.701072692871094
12,13,8.46944808959961
13,14,8.14948844909668
14,15,8.821654319763184
15,16,8.294191360473633
16,17,9.003398895263672
17,18,8.480680465698242
18,19,8.34839916229248
19,20,8.404139518737793
20,21,8.225810050964355
21,22,8.513429641723633
22,23,8.034429550170898
23,24,8.483747482299805
24,25,8.1905517578125
25,26,8.369749069213867
26,27,8.172163963317871
27,28,8.282188415527344
28,29,8.10523796081543
29,30,8.267168045043945
30,31,8.178144454956055
31,32,8.267560958862305
32,33,8.090869903564453
33,34,7.9668731689453125
34,35,7.986615180969238
35,36,8.405924797058105
36,37,8.083883285522461
37,38,8.310197830200195
38,39,8.101692199707031
39,40,7.992196083068848
40,41,8.003698348999023
41,42,8.06558609008789
42,43,7.933900833129883
43,44,7.985868453979492
44,45,7.957102298736572
45,46,7.809403896331787
46,47,7.846504211425781
47,48,7.901277542114258
48,49,7.936037063598633
49,50,7.89479923248291
50,51,7.866785049438477
51,52,7.939607620239258
52,53,7.982714653015137
53,54,8.025571823120117
54,55,7.993967056274414
55,56,7.837677001953125
56,57,8.015892028808594
57,58,7.968423843383789
58,59,7.944018363952637
59,60,7.73471736907959
60,61,7.929868221282959
61,62,7.90130615234375
62,63,7.98677921295166
63,64,7.906879901885986
64,65,7.67465353012085
65,66,7.726570129394531
66,67,7.77490234375
67,68,7.92494010925293
68,69,7.748288154602051
69,70,7.972811222076416
70,71,7.809473991394043
71,72,7.8201704025268555
72,73,8.108892440795898
73,74,7.891696929931641
74,75,7.692433834075928
75,76,7.7782793045043945
76,77,7.741572856903076
77,78,7.700847148895264
78,79,8.186193466186523
79,80,7.741654872894287
80,81,7.713449478149414
81,82,7.75502347946167
82,83,7.675543308258057
83,84,7.66696834564209
84,85,7.613189697265625
85,86,7.655593395233154
86,87,7.587146282196045
87,88,7.7879204750061035
88,89,7.941956520080566
89,90,7.471731185913086
90,91,7.7476806640625
91,92,8.067246437072754
92,93,7.511362075805664
93,94,7.80509614944458
94,95,7.765695571899414
95,96,7.66830587387085
96,97,7.784292221069336
97,98,7.496042251586914
98,99,7.667655944824219
99,100,7.407408237457275
100,101,7.794155120849609
101,102,7.663699150085449
102,103,7.5939459800720215
103,104,7.7388505935668945
104,105,7.653745651245117
105,106,7.321510314941406
106,107,7.8220648765563965
107,108,7.658390522003174
108,109,7.378718376159668
109,110,7.500998497009277
110,111,7.792966365814209
111,112,7.543486595153809
112,113,7.359593391418457
113,114,7.650826454162598
114,115,7.698494911193848
115,116,7.350184440612793
116,117,7.491633415222168
117,118,7.573549270629883
118,119,7.547969818115234
119,120,7.45602560043335
120,121,7.379920959472656
121,122,7.446165084838867
122,123,7.626327037811279
123,124,7.375789642333984
124,125,7.671326637268066
125,126,7.2764739990234375
126,127,7.533942222595215
127,128,7.365748882293701
128,129,7.570906639099121
129,130,7.260893821716309
130,131,7.634585857391357
131,132,7.450860023498535
132,133,7.486997127532959
133,134,7.729349613189697
134,135,7.483264446258545
135,136,7.610140800476074
136,137,7.289741516113281
137,138,7.145991325378418
138,139,7.547754287719727
139,140,7.457966327667236
140,141,7.374087333679199
141,142,7.257575988769531
142,143,7.276824951171875
143,144,7.129232406616211
144,145,7.579874515533447
145,146,7.1734771728515625
146,147,7.269707679748535
147,148,7.5145487785339355
148,149,7.205872535705566
149,150,7.2734599113464355
150,151,7.1914896965026855
151,152,7.354739665985107
152,153,7.536520004272461
153,154,7.204345703125
154,155,7.557268142700195
155,156,7.372421741485596
156,157,7.116652011871338
157,158,7.307902812957764
158,159,7.343961715698242
159,160,7.342242240905762
160,161,7.271897315979004
161,162,7.427126884460449
162,163,7.153562545776367
163,164,7.187734603881836
164,165,7.183297157287598
165,166,7.264915466308594
166,167,7.471250057220459
167,168,7.356367111206055
168,169,7.181244850158691
169,170,7.203119277954102
170,171,7.278773784637451
171,172,7.420637130737305
172,173,7.147168159484863
173,174,7.1299638748168945
174,175,7.1780524253845215
175,176,7.314148426055908
176,177,7.127861976623535
177,178,7.559209823608398
178,179,7.504331111907959
179,180,7.370121955871582
180,181,7.180548667907715
181,182,7.100788116455078
182,183,7.421755313873291
183,184,7.414479732513428
184,185,7.350095748901367
185,186,7.359203338623047
186,187,7.301636219024658
187,188,7.396584510803223
188,189,7.005256652832031
189,190,7.195395469665527
190,191,7.286613941192627
191,192,7.25113582611084
192,193,7.357054233551025
193,194,7.1376423835754395
194,195,7.2632036209106445
195,196,7.172287940979004
196,197,7.347087383270264
197,198,7.200877666473389
198,199,7.354362487792969
199,200,7.148806571960449
