,step,value
0,101,7.881197929382324
1,102,7.735882759094238
2,103,7.670698642730713
3,104,7.7974700927734375
4,105,7.705661773681641
5,106,7.38497257232666
6,107,7.871816635131836
7,108,7.692192077636719
8,109,7.4382171630859375
9,110,7.558642387390137
10,111,7.861846923828125
11,112,7.619699954986572
12,113,7.436424255371094
13,114,7.718050003051758
14,115,7.7551774978637695
15,116,7.435157775878906
16,117,7.5625410079956055
17,118,7.638845920562744
18,119,7.633045196533203
19,120,7.533821105957031
20,121,7.4751691818237305
21,122,7.543722152709961
22,123,7.687901496887207
23,124,7.4813456535339355
24,125,7.751777648925781
25,126,7.385700225830078
26,127,7.633946418762207
27,128,7.482426166534424
28,129,7.661415100097656
29,130,7.379767894744873
30,131,7.74505615234375
31,132,7.535163879394531
32,133,7.59023380279541
33,134,7.826658725738525
34,135,7.599735736846924
35,136,7.709712982177734
36,137,7.409081935882568
37,138,7.28321647644043
38,139,7.648521423339844
39,140,7.589037895202637
40,141,7.485231399536133
41,142,7.377741813659668
42,143,7.403848171234131
43,144,7.254476070404053
44,145,7.6771650314331055
45,146,7.321554183959961
46,147,7.407600402832031
47,148,7.600625038146973
48,149,7.32688045501709
49,150,7.406523704528809
50,151,7.306941032409668
51,152,7.489952087402344
52,153,7.650242805480957
53,154,7.344675064086914
54,155,7.686220645904541
55,156,7.490208148956299
56,157,7.248018264770508
57,158,7.456080913543701
58,159,7.467373371124268
59,160,7.4667816162109375
60,161,7.3970947265625
61,162,7.583271503448486
62,163,7.298805236816406
63,164,7.3259782791137695
64,165,7.320033550262451
65,166,7.384515762329102
66,167,7.586163520812988
67,168,7.499419212341309
68,169,7.322124481201172
69,170,7.341341018676758
70,171,7.432631492614746
71,172,7.57288122177124
72,173,7.289445400238037
73,174,7.290076732635498
74,175,7.303238868713379
75,176,7.449504852294922
76,177,7.2746686935424805
77,178,7.679818630218506
78,179,7.622335433959961
79,180,7.486319065093994
80,181,7.288851737976074
81,182,7.252830505371094
82,183,7.545425891876221
83,184,7.539877414703369
84,185,7.479680061340332
85,186,7.488010406494141
86,187,7.433943748474121
87,188,7.532962322235107
88,189,7.1360063552856445
89,190,7.34298038482666
90,191,7.427605628967285
91,192,7.385364532470703
92,193,7.4759721755981445
93,194,7.2654266357421875
94,195,7.396307945251465
95,196,7.30725622177124
96,197,7.471987724304199
97,198,7.328393936157227
98,199,7.482444763183594
99,200,7.293612480163574
