wall_time,step,value
1768567935.7106683,101,7.930083274841309
1768567935.86071,102,7.786942958831787
1768567936.007863,103,7.726027488708496
1768567936.1542835,104,7.86033821105957
1768567936.3009467,105,7.743113040924072
1768567936.4469168,106,7.4387922286987305
1768567936.5922403,107,7.904132843017578
1768567936.73847,108,7.733801364898682
1768567936.8838239,109,7.475130081176758
1768567937.0289981,110,7.611993789672852
1768567939.437411,111,7.888959884643555
1768567939.582662,112,7.652280330657959
1768567939.7304301,113,7.477653503417969
1768567939.877269,114,7.767800807952881
1768567940.022477,115,7.798317909240723
1768567940.1680865,116,7.463127613067627
1768567940.312765,117,7.602496147155762
1768567940.456768,118,7.667512893676758
1768567940.601334,119,7.657365798950195
1768567940.7477582,120,7.557277679443359
1768567943.1494558,121,7.485919952392578
1768567943.2940562,122,7.562038421630859
1768567943.4383492,123,7.712522506713867
1768567943.5828707,124,7.5038909912109375
1768567943.7286506,125,7.768208026885986
1768567943.8725967,126,7.402810573577881
1768567944.0170913,127,7.641804218292236
1768567944.1622329,128,7.481851577758789
1768567944.3081357,129,7.666657447814941
1768567944.4524894,130,7.388311386108398
1768567946.8586962,131,7.7331862449646
1768567947.003314,132,7.532437324523926
1768567947.148577,133,7.595222473144531
1768567947.2934203,134,7.816327095031738
1768567947.4382308,135,7.584344387054443
1768567947.5842972,136,7.698321342468262
1768567947.7298286,137,7.3835768699646
1768567947.8748095,138,7.245344638824463
1768567948.021193,139,7.635979652404785
1768567948.1664007,140,7.543905735015869
1768567950.5698268,141,7.44608736038208
1768567950.7133386,142,7.330180644989014
1768567950.8573647,143,7.362793445587158
1768567951.001158,144,7.203948497772217
1768567951.144664,145,7.637311935424805
1768567951.2879038,146,7.250089168548584
1768567951.431228,147,7.337550640106201
1768567951.5759144,148,7.563591957092285
1768567951.7213082,149,7.264435291290283
1768567951.865773,150,7.329765796661377
1768567954.2567024,151,7.242464542388916
1768567954.4022098,152,7.40997314453125
1768567954.546664,153,7.559709548950195
1768567954.6908698,154,7.267355442047119
1768567954.8348424,155,7.566004753112793
1768567954.9826372,156,7.399785995483398
1768567955.1235518,157,7.162398815155029
1768567955.2700174,158,7.3410139083862305
1768567955.4141917,159,7.395506381988525
1768567955.5584931,160,7.370718002319336
1768567957.954261,161,7.282541275024414
1768567958.0988004,162,7.432906150817871
1768567958.2433562,163,7.188263893127441
1768567958.3881388,164,7.234088897705078
1768567958.533024,165,7.209750652313232
1768567958.6772015,166,7.283713340759277
1768567958.8215911,167,7.502823829650879
1768567958.9660175,168,7.3801140785217285
1768567959.1104002,169,7.2111735343933105
1768567959.2553482,170,7.232031345367432
1768567961.6441,171,7.294998645782471
1768567961.7883327,172,7.443545341491699
1768567961.932451,173,7.170064926147461
1768567962.0757551,174,7.169179916381836
1768567962.2214923,175,7.186485767364502
1768567962.364809,176,7.339011192321777
1768567962.5085824,177,7.135436534881592
1768567962.652201,178,7.564325332641602
1768567962.795859,179,7.498221397399902
1768567962.940156,180,7.369124412536621
1768567965.3357508,181,7.190153121948242
1768567965.4802153,182,7.106189727783203
1768567965.624375,183,7.44276237487793
1768567965.7680345,184,7.4233903884887695
1768567965.9125407,185,7.3606486320495605
1768567966.0570915,186,7.369614124298096
1768567966.2014406,187,7.314233779907227
1768567966.3460493,188,7.410160064697266
1768567966.4900248,189,7.018848419189453
1768567966.6341436,190,7.204719543457031
1768567969.0257492,191,7.277355670928955
1768567969.1703885,192,7.282207012176514
1768567969.3145854,193,7.3846564292907715
1768567969.4584017,194,7.1182732582092285
1768567969.602851,195,7.276558876037598
1768567969.747284,196,7.184545040130615
1768567969.8917034,197,7.361323833465576
1768567970.0360725,198,7.210727691650391
1768567970.181126,199,7.346219539642334
1768567970.3261771,200,7.15671443939209
1768569644.857419,201,7.513177871704102
1768569645.0070395,202,7.396634578704834
1768569645.1554327,203,7.285955905914307
1768569645.3023846,204,7.354986190795898
1768569645.448998,205,7.371656894683838
1768569645.5952494,206,7.1768951416015625
1768569645.7413776,207,7.494948387145996
1768569645.8877995,208,7.300205230712891
1768569646.0339262,209,7.251850605010986
1768569646.1803691,210,7.22186803817749
1768569648.607636,211,7.174644470214844
1768569648.7529664,212,7.225998878479004
1768569648.898263,213,7.205852508544922
1768569649.043562,214,7.371674060821533
1768569649.1893508,215,7.359569549560547
1768569649.3353043,216,7.375026226043701
1768569649.4813876,217,7.129002571105957
1768569649.6272604,218,7.417864799499512
1768569649.772715,219,7.085780620574951
1768569649.9177496,220,7.230795860290527
1768569652.310823,221,7.255796432495117
1768569652.455751,222,7.033125400543213
1768569652.6013534,223,7.18384313583374
1768569652.7461345,224,7.277835369110107
1768569652.890815,225,7.050579071044922
1768569653.036612,226,7.107053756713867
1768569653.1808624,227,7.163426399230957
1768569653.3257668,228,7.21069860458374
1768569653.4716887,229,7.196481704711914
1768569653.6166866,230,7.619107723236084
1768569656.015352,231,6.984265327453613
1768569656.1605947,232,7.158785820007324
1768569656.3050017,233,6.91453218460083
1768569656.4500747,234,7.181825160980225
1768569656.5946598,235,7.053599834442139
1768569656.7390425,236,7.314242362976074
1768569656.8837342,237,7.088621616363525
1768569657.0290082,238,6.897379398345947
1768569657.173785,239,7.400166988372803
1768569657.3183115,240,7.357600212097168
1768569659.703022,241,7.066107749938965
1768569659.8476954,242,7.08514928817749
1768569659.9937975,243,7.382720470428467
1768569660.1416838,244,7.087347984313965
1768569660.2864022,245,7.036702632904053
1768569660.432869,246,7.148078441619873
1768569660.5774667,247,7.211467266082764
1768569660.7221253,248,7.194976806640625
1768569660.8663063,249,7.193192481994629
1768569661.0115683,250,7.142843246459961
1768569663.4012406,251,7.079052925109863
1768569663.5454469,252,7.084295749664307
1768569663.6902173,253,7.069491863250732
1768569663.8342092,254,7.285326957702637
1768569663.9783146,255,7.255311012268066
1768569664.1257558,256,7.249112606048584
1768569664.2679012,257,7.096583366394043
1768569664.4119313,258,7.180212020874023
1768569664.5563483,259,6.912205219268799
1768569664.700812,260,7.083845138549805
1768569667.0833297,261,7.28129768371582
1768569667.227437,262,7.182940483093262
1768569667.3717034,263,7.304994583129883
1768569667.5161138,264,7.0865960121154785
1768569667.6600077,265,7.078168869018555
1768569667.8040097,266,6.988325119018555
1768569667.948299,267,7.127893924713135
1768569668.0924897,268,6.896215915679932
1768569668.23656,269,7.162545204162598
1768569668.3803883,270,7.158064842224121
1768569670.7791762,271,7.057898044586182
1768569670.9237845,272,6.9233293533325195
1768569671.0683873,273,7.2301836013793945
1768569671.213397,274,7.284407138824463
1768569671.358096,275,6.792967796325684
1768569671.5022752,276,7.25534725189209
