wall_time,step,value
1768562650.4249287,101,0.004625440109521151
1768562650.561363,102,0.004600734915584326
1768562650.693218,103,0.004575887229293585
1768562650.8254895,104,0.004550899378955364
1768562650.9575763,105,0.004525774158537388
1768562651.0894623,106,0.004500514827668667
1768562651.221527,107,0.004475124180316925
1768562651.3552098,108,0.004449604079127312
1768562651.486453,109,0.004423958249390125
1768562651.617733,110,0.004398189019411802
1768562653.364987,111,0.004372299183160067
1768562653.4999766,112,0.004346292000263929
1768562653.633895,113,0.004320170264691114
1768562653.7671318,114,0.004293936304748058
1768562653.899618,115,0.004267593380063772
1768562654.032654,116,0.004241144750267267
1768562654.1708398,117,0.004214592278003693
1768562654.3054867,118,0.004187940154224634
1768562654.4392707,119,0.004161190241575241
1768562654.577439,120,0.0041343457996845245
1768562656.3203309,121,0.004107410088181496
1768562656.4545677,122,0.004080385901033878
1768562656.5880065,123,0.004053276032209396
1768562656.722365,124,0.004026083741337061
1768562656.8560393,125,0.0039988113567233086
1768562656.989348,126,0.003971462603658438
1768562657.1236098,127,0.003944040276110172
1768562657.261031,128,0.003916547168046236
1768562657.394842,129,0.003888986771926284
1768562657.5320332,130,0.003861361648887396
1768562659.2716737,131,0.0038336748257279396
1768562659.4063046,132,0.0038059295620769262
1768562659.5403543,133,0.0037781288847327232
1768562659.6741793,134,0.0037502755876630545
1768562659.8083692,135,0.0037223731633275747
1768562659.941952,136,0.0036944241728633642
1768562660.0758848,137,0.0036664321087300777
1768562660.2093735,138,0.003638399764895439
1768562660.342487,139,0.0036103304009884596
1768562660.4761345,140,0.003582226810976863
1768562662.211444,141,0.003554092487320304
1768562662.3455682,142,0.0035259302239865065
1768562662.4804945,143,0.003497743047773838
1768562662.6143084,144,0.0034695344511419535
1768562662.7480922,145,0.003441306995227933
1768562662.8821645,146,0.0034130641724914312
1768562663.0157814,147,0.003384809009730816
1768562663.149643,148,0.0033565445337444544
1768562663.2840655,149,0.0033282737713307142
1768562663.4177508,150,0.0032999999821186066
1768562665.1517506,151,0.003271726192906499
1768562665.28672,152,0.0032434554304927588
1768562665.4216006,153,0.0032151909545063972
1768562665.5552096,154,0.003186935791745782
1768562665.6888237,155,0.00315869296900928
1768562665.8232615,156,0.0031304655130952597
1768562665.9570127,157,0.003102256916463375
1768562666.0901642,158,0.0030740697402507067
1768562666.223554,159,0.0030459074769169092
1768562666.3573403,160,0.0030177731532603502
1768562668.0836208,161,0.002989669796079397
1768562668.2168307,162,0.002961600199341774
