wall_time,step,value
1768562745.505291,1,0.005999667104333639
1768562745.6405497,2,0.005998667795211077
1768562745.7721248,3,0.005997002590447664
1768562745.904145,4,0.005994671955704689
1768562746.0367286,5,0.005991676822304726
1768562746.1677213,6,0.005988017190247774
1768562746.2991698,7,0.005983694456517696
1768562746.4304273,8,0.005978709552437067
1768562746.5613475,9,0.005973063874989748
1768562746.6924844,10,0.005966758355498314
1768562748.465447,11,0.005959795322269201
1768562748.595973,12,0.005952175706624985
1768562748.7266521,13,0.0059439013712108135
1768562748.8570204,14,0.0059349751099944115
1768562748.987181,15,0.005925398785620928
1768562749.1175663,16,0.005915174726396799
1768562749.248731,17,0.005904305260628462
1768562749.3789964,18,0.00589279318228364
1768562749.5100193,19,0.005880641285330057
1768562749.6402617,20,0.005867852363735437
1768562751.3825328,21,0.005854430608451366
1768562751.5126195,22,0.0058403778821229935
1768562751.6431196,23,0.005825698841363192
1768562751.7734106,24,0.005810396280139685
1768562751.9034784,25,0.005794474855065346
1768562752.0336604,26,0.005777937360107899
1768562752.1673112,27,0.005760788917541504
1768562752.297455,28,0.00574303325265646
1768562752.4279382,29,0.005724674556404352
1768562752.5591621,30,0.005705717485398054
1768562754.300484,31,0.005686167161911726
1768562754.4308279,32,0.005666028242558241
1768562754.560843,33,0.005645304918289185
1768562754.6921515,34,0.005624003242701292
1768562754.8223116,35,0.005602128338068724
1768562754.9526582,36,0.00557968532666564
1768562755.0848098,37,0.005556679796427488
1768562755.2150414,38,0.005533117335289717
1768562755.3457687,39,0.005509004462510347
1768562755.4758074,40,0.005484345834702253
1768562757.2134748,41,0.005459148436784744
1768562757.3435445,42,0.005433418322354555
1768562757.475464,43,0.005407162010669708
1768562757.6076214,44,0.005380385555326939
1768562757.7380173,45,0.005353095941245556
1768562757.8680987,46,0.005325299687683582
1768562757.9988608,47,0.0052970037795603275
1768562758.1286833,48,0.005268215201795101
1768562758.2620208,49,0.005238940939307213
1768562758.3920581,50,0.0052091884426772594
1768562760.1453671,51,0.005178964696824551
1768562760.275187,52,0.005148277152329683
1768562760.4052215,53,0.005117133725434542
1768562760.5348198,54,0.005085541866719723
1768562760.6650014,55,0.005053509958088398
1768562760.7947419,56,0.005021044984459877
1768562760.9260974,57,0.004988155327737331
1768562761.0578897,58,0.004954848904162645
1768562761.1882792,59,0.004921134561300278
1768562761.3205912,60,0.004887020215392113
1768562763.0478244,61,0.004852514248341322
1768562763.1777167,62,0.004817625042051077
1768562763.3075743,63,0.004782361444085836
1768562763.4390843,64,0.004746732302010059
1768562763.5691602,65,0.004710745997726917
1768562763.6994755,66,0.004674411844462156
1768562763.8290925,67,0.004637738224118948
1768562763.9586718,68,0.004600734915584326
1768562764.0897331,69,0.004563410300761461
1768562764.219752,70,0.004525774158537388
1768562765.9536462,71,0.004487835802137852
1768562766.0832329,72,0.004449604079127312
1768562766.213304,73,0.004411088768392801
1768562766.3429787,74,0.004372299183160067
1768562766.4733484,75,0.004333245102316141
1768562766.6030114,76,0.004293936304748058
1768562766.7325578,77,0.004254382103681564
1768562766.8625522,78,0.004214592278003693
1768562766.9924579,79,0.004174577072262764
1768562767.1223085,80,0.0041343457996845245
1768562768.861012,81,0.004093908704817295
1768562768.9906766,82,0.004053276032209396
1768562769.1206837,83,0.0040124570950865746
1768562769.2505553,84,0.003971462603658438
1768562769.3822186,85,0.003930302336812019
1768562769.5133622,86,0.003888986771926284
1768562769.6430533,87,0.0038475256878882647
1768562769.772643,88,0.0038059295620769262
1768562769.9027073,89,0.0037642086390405893
1768562770.0327408,90,0.0037223731633275747
1768562771.761567,91,0.003680433379486203
1768562771.8911896,92,0.003638399764895439
1768562772.0227041,93,0.0035962825641036034
1768562772.154986,94,0.003554092487320304
1768562772.2853026,95,0.003511839546263218
1768562772.4153495,96,0.0034695344511419535
1768562772.5449142,97,0.0034271874465048313
1768562772.6746614,98,0.003384809009730816
1768562772.804311,99,0.0033424098510295153
1768562772.934041,100,0.0032999999821186066
1768562775.0591173,101,0.0032575903460383415
1768562775.1892173,102,0.0032151909545063972
1768562775.320468,103,0.003172812517732382
1768562775.4503279,104,0.0031304655130952597
1768562775.5802233,105,0.003088160417973995
1768562775.7097905,106,0.0030459074769169092
1768562775.8395357,107,0.0030037174001336098
1768562775.970577,108,0.002961600199341774
1768562776.100715,109,0.00291956658475101
1768562776.23057,110,0.002877627033740282
1768562777.9630795,111,0.002835791325196624
1768562778.092524,112,0.002794070402160287
1768562778.2221413,113,0.0027524742763489485
1768562778.351885,114,0.0027110131923109293
1768562778.4815345,115,0.002669697627425194
1768562778.6115553,116,0.0026285373605787754
1768562778.74145,117,0.0025875428691506386
1768562778.8710735,118,0.0025467239320278168
1768562779.000555,119,0.0025060910265892744
1768562779.1318665,120,0.0024656541645526886
1768562780.862165,121,0.002425422891974449
